
2024/03/01 (16:17:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/01 (18:12:32) | ===> btop++ v.1.3.2
2024/03/01 (18:12:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/01 (18:12:51) | ===> btop++ v.1.3.2
2024/03/01 (18:12:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/01 (22:03:41) | ===> btop++ v.1.3.2
2024/03/01 (22:03:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/01 (23:21:59) | ===> btop++ v.1.3.2
2024/03/01 (23:21:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/01 (23:45:52) | ===> btop++ v.1.3.2
2024/03/01 (23:45:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/01 (23:45:55) | ===> btop++ v.1.3.2
2024/03/01 (23:45:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/02 (00:31:37) | ===> btop++ v.1.3.2
2024/03/02 (00:31:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/02 (00:32:12) | ===> btop++ v.1.3.2
2024/03/02 (00:32:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/02 (00:33:35) | ===> btop++ v.1.3.2
2024/03/02 (00:33:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
